id_unn;id_fil;id_mes;target_sales_store_1;target_sales_store_2
1;25;202202;6521191,8;6876583,0
1;1;202203;4646075,0;4908145,1
1;75;202203;1728190,7;1963429,9
1;24;202203;9273025,5;9695297,2
1;57;202203;2542942,4;2803258,1
1;31;202203;2794453,1;3057764,5
1;48;202203;2058897,3;2226552,1
1;52;202203;1848149,6;2051054,0
1;56;202203;3327068,6;3520483,1
1;36;202203;3406004,5;3731114,4
1;38;202203;2595174,9;2777568,1
1;32;202203;3658407,4;3964562,2
1;19;202203;8798973,7;9162614,6
1;12;202203;5727903,9;6028672,8
1;54;202203;2322425,6;2578721,8
1;3;202203;22053787,2;23368751,5
1;30;202203;11509344,4;12019143,7
1;27;202203;2319478,1;2538727,3
1;34;202203;2922921,4;3223817,4
1;29;202203;1763508,4;1985707,9
1;8;202203;3339573,3;3577525,6
1;37;202203;2779723,1;2961728,6
1;23;202203;3334129,0;3716514,8
1;55;202203;3317946,7;3662563,5
1;66;202203;2814205,3;3009647,7
1;71;202203;3983150,2;4280710,2
1;74;202203;2997386,5;3203002,1
1;9;202203;3296495,9;3519134,4
1;64;202203;5644769,2;5926234,1
1;72;202203;1955083,7;2132064,3
1;26;202203;5559845,8;5882833,5
1;28;202203;4431109,7;4673860,8
1;22;202203;2507362,9;2685393,7
1;40;202203;4822027,8;5079611,9
1;43;202203;3337630,3;3569210,5
1;73;202203;2245209,4;2468507,6
1;51;202203;3827696,8;4109064,2
1;39;202203;2130079,0;2364330,8
1;70;202203;1707761,0;1840666,8
1;25;202203;7095411,1;7450802,3
1;1;202204;4222728,8;4417709,0
1;75;202204;1599579,8;1698419,8
1;24;202204;8462883,2;8794235,2
1;57;202204;2257801,4;2418465,0
1;31;202204;2513036,8;2695488,8
1;48;202204;1507591,6;1625142,6
1;52;202204;1702625,9;1820096,9
1;56;202204;3042991,7;3206973,5
1;36;202204;3011064,1;3203174,4
1;38;202204;2348110,5;2479512,1
1;32;202204;3290751,4;3501658,0
1;19;202204;8026309,3;8302750,5
1;12;202204;5201755,3;5417401,0
1;54;202204;2437709,9;2612566,1
1;3;202204;19556613,9;20365671,2
1;30;202204;10474420,3;10843131,3
1;27;202204;2024387,5;2169889,3
1;34;202204;2593292,2;2772994,0
1;29;202204;1768299,2;1951613,8
1;8;202204;3025118,3;3200656,9
1;37;202204;2538288,0;2689959,2
1;23;202204;2933833,9;3213696,0
1;55;202204;2927500,0;3139764,0
1;66;202204;2566427,7;2726896,2
1;71;202204;3627298,9;3868502,8
1;74;202204;2728980,7;2893057,8
1;9;202204;2982560,6;3141049,0
1;64;202204;5139625,0;5351773,8
1;72;202204;1753628,4;1873649,8
1;26;202204;5040451,7;5269598,3
1;28;202204;3843981,4;4039012,2
1;22;202204;2277617,2;2415186,4
1;40;202204;4403924,9;4614318,0
1;43;202204;3021009,3;3188369,9
1;73;202204;2126227,5;2274356,1
1;51;202204;3809932,5;3991700,8
1;39;202204;1892494,0;2039985,9
1;70;202204;1548967,7;1651054,7
1;25;202204;6496375,0;6800431,9
1;1;202205;4291666,3;4486646,4
1;75;202205;1768910,4;1867750,5
1;24;202205;8644696,4;8976048,4
1;57;202205;2232915,5;2393579,0
1;31;202205;2263530,9;2445982,9
1;48;202205;1708156,1;1825707,1
1;52;202205;1765798,8;1883269,8
1;56;202205;2957209,2;3121191,0
1;36;202205;3065467,4;3257577,7
1;38;202205;2386090,3;2517491,9
1;32;202205;3343404,7;3554311,3
1;19;202205;8665461,2;8941902,5
1;12;202205;5287111,5;5502757,2
1;54;202205;2296036,4;2470892,7
1;3;202205;19963670,9;20772728,3
1;30;202205;10586425,3;10955136,3
1;27;202205;2072889,6;2218391,4
1;34;202205;2613178,9;2792880,7
1;29;202205;1800596,3;1983910,9
1;8;202205;3190385,0;3365923,6
1;37;202205;2579173,6;2730844,8
1;23;202205;3260457,7;3540319,8
1;55;202205;2792514,0;3004778,0
1;66;202205;2563368,2;2723836,8
1;71;202205;3685187,9;3926391,9
1;74;202205;2772884,2;2936961,3
1;9;202205;3555740,9;3714229,4
1;64;202205;5366013,8;5578162,6
1;72;202205;1781616,5;1901637,9
1;26;202205;5227660,9;5456807,5
1;28;202205;3726244,8;3921275,5
1;22;202205;2375770,6;2513339,9
1;40;202205;4475618,0;4686011,1
1;43;202205;3109856,5;3277217,0
1;73;202205;2037494,7;2185623,2
1;51;202205;3362067,4;3543835,8
1;39;202205;1899837,3;2047329,2
1;70;202205;1573703,7;1675790,8
1;25;202205;6602239,6;6906296,5
1;1;202206;4261282,9;4456263,0
1;75;202206;1811292,2;1910132,2
1;24;202206;8558725,9;8890077,9
1;57;202206;2277755,5;2438419,1
1;31;202206;2256904,5;2439356,6
1;48;202206;1945246,7;2062797,8
1;52;202206;1934520,0;2051991,0
1;56;202206;3070385,2;3234367,0
1;36;202206;3048643,0;3240753,4
1;38;202206;2369444,6;2500846,1
1;32;202206;3320055,9;3530962,5
1;19;202206;8010975,6;8287416,9
1;12;202206;5249529,2;5465174,8
1;54;202206;2239979,1;2414835,4
